total loss	score loss	border loss	direc loss	ctc loss	
46.604204	0.246368	0.176002	0.077165	9.220934	
41.765572	0.220951	0.146288	0.062297	8.267207	
43.992933	0.210161	0.134040	0.060427	8.717661	
37.500597	0.216225	0.139365	0.061845	7.416632	
39.209563	0.201266	0.137612	0.059027	7.762332	
32.536257	0.200269	0.146508	0.062717	6.425353	
38.361323	0.203148	0.136068	0.063873	7.591647	
31.925545	0.198765	0.124828	0.057689	6.308853	
32.120876	0.195972	0.130912	0.056991	6.347400	
30.509689	0.189591	0.134521	0.060638	6.024988	
33.409600	0.195837	0.129480	0.056741	6.605508	
28.946505	0.192995	0.125150	0.056965	5.714279	
36.745585	0.192348	0.128381	0.057743	7.273423	
34.813616	0.192745	0.131021	0.057018	6.886567	
31.292607	0.190899	0.129286	0.057960	6.182892	
31.333286	0.190483	0.130740	0.057526	6.190907	
30.089874	0.186328	0.124772	0.056108	5.944533	
31.178003	0.180006	0.121616	0.056659	6.163945	
31.889233	0.182668	0.125911	0.058190	6.304493	
31.549126	0.188677	0.126743	0.056785	6.235384	
28.554731	0.181622	0.120980	0.054047	5.639616	
30.798302	0.184420	0.133625	0.056537	6.084744	
33.863157	0.178689	0.122691	0.055737	6.701208	
31.405281	0.191207	0.124951	0.057162	6.206392	
28.550928	0.186045	0.136770	0.057053	5.634212	
31.922680	0.178395	0.127455	0.055743	6.312217	
30.460055	0.185619	0.125326	0.054344	6.018953	
29.412274	0.181811	0.122625	0.053818	5.810804	
32.266427	0.179804	0.118053	0.053844	6.382945	
30.272414	0.181952	0.131724	0.055971	5.980553	
28.160060	0.177482	0.120137	0.053991	5.561690	
31.795618	0.177186	0.125503	0.054624	6.287661	
29.774595	0.177312	0.123571	0.059469	5.882849	
30.960117	0.180738	0.121221	0.055519	6.120528	
26.332003	0.176118	0.123199	0.055014	5.195534	
23.410014	0.173303	0.119487	0.054092	4.612626	
28.452126	0.182379	0.128448	0.057699	5.616720	
26.817492	0.174329	0.120852	0.053892	5.293684	
27.909739	0.172331	0.117412	0.054286	5.513142	
27.486241	0.175682	0.120755	0.054063	5.427148	
22.842689	0.169667	0.129598	0.055222	4.497641	
23.978500	0.177427	0.122403	0.050803	4.725574	
25.944970	0.176426	0.123900	0.057435	5.117442	
27.867551	0.179264	0.118636	0.051899	5.503550	
23.422912	0.173329	0.124343	0.056664	4.613715	
25.964715	0.174495	0.112588	0.052726	5.124981	
27.312677	0.170129	0.118116	0.053594	5.394168	
25.419581	0.168503	0.118463	0.052260	5.016071	
26.874727	0.169673	0.113475	0.052034	5.307909	
25.620091	0.175169	0.124412	0.057342	5.052634	
32.308180	0.178098	0.127980	0.051584	6.390103	
24.888285	0.172841	0.118736	0.052326	4.908877	
26.420720	0.167902	0.119039	0.051610	5.216434	
24.698242	0.177833	0.117083	0.055237	4.869618	
26.566493	0.171709	0.117963	0.052749	5.244815	
29.027527	0.171956	0.110460	0.052764	5.738470	
24.944834	0.171134	0.113109	0.047733	4.922572	
22.914196	0.165675	0.123245	0.053918	4.514271	
24.957254	0.168101	0.115656	0.051724	4.924354	
24.519828	0.165388	0.117131	0.055015	4.836459	
28.893741	0.168224	0.107429	0.046379	5.714342	
24.680900	0.165733	0.108703	0.046797	4.871934	
24.143225	0.169204	0.125342	0.052912	4.759153	
24.007565	0.163975	0.108468	0.050898	4.736845	
28.511292	0.175203	0.114554	0.053661	5.633575	
23.916025	0.169663	0.112304	0.050517	4.716708	
25.227112	0.171963	0.114841	0.049554	4.978151	
24.263895	0.168065	0.116964	0.051964	4.785380	
23.677776	0.168233	0.114402	0.052034	4.668621	
28.128236	0.165823	0.119008	0.051982	5.558285	
26.666653	0.165766	0.116034	0.052085	5.266554	
25.829316	0.168645	0.110630	0.049270	5.100154	
22.620191	0.165482	0.108759	0.048095	4.459571	
22.937675	0.165599	0.111957	0.050842	4.521855	
21.391342	0.162708	0.109368	0.045614	4.214731	
28.157324	0.166599	0.114874	0.049836	5.565203	
23.853846	0.169328	0.116233	0.051179	4.703421	
21.275658	0.164010	0.111358	0.046943	4.190669	
25.072542	0.162836	0.110946	0.047779	4.950196	
